序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
75,338,潍柴动力,潍柴动力股份有限公司,潍坊市,奎文区,15156939.22,680834.25,41402,2007-04-30,--,,汽车零部件,整车及关键零部件、仓库技术及供应链解决方案服务,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
76,400,许继电气,许继电气股份有限公司,许昌市,魏都区,1033072.11,61377.73,5662,1997-04-18,--,,电气自控设备,特高压、智能电网、新能源、电动汽车充换电、轨道交通、工业智能化,从事电力系统二次设备和一次设备的研制、销售
77,401,冀东水泥,唐山冀东水泥股份有限公司,唐山市,丰润区,1528971.41,11038.33,14224,1996-06-14,--,,水泥,水泥熟料、各类硅酸盐水泥、与水泥相关的建材,生产和销售水泥、熟料以及石灰石开采和销售
78,402,金融街,金融街控股股份有限公司,北京市,西城区,2551934.09,300641.23,3415,1996-06-26,--,,房地产开发,房产开发、物业租赁、物业经营,房地产开发和经营
79,403,振兴生化,振兴生化股份有限公司,太原市,小店区,68537.81,3830.79,1111,1996-06-28,--,,生物医药,血液制品、膏药、敷料,生产和销售血液制品
80,404,长虹华意,长虹华意压缩机股份有限公司,景德镇市,昌江区,811411.04,9712.36,6441,1996-06-19,--,,压缩机,通用设备制造,冰箱压缩机及商用压缩机的研发、生产和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
81,407,胜利股份,山东胜利股份有限公司,济南市,历下区,382795.88,6230.25,1481,1996-07-03,--,,燃气,天然气业务、天然气管道制造业、成品油贸易业务,天然气、生物、农化、塑胶等产业组成
82,408,藏格控股,藏格控股股份有限公司,海西蒙古族藏族自治州,格尔木市,317317.85,121437.71,1776,1996-06-28,--,,钾肥,钾肥(氯化钾),钾肥(氯化钾)的生产和销售。
83,409,*ST地矿,山东地矿股份有限公司,济南市,历城区,143025.7,-22484.18,1887,1996-06-27,--,,综合,铁矿石采选、黄金采选、生物制药、特种轮胎、房地产、中药材加工零售、油品加工贸易,矿石的开采、加工及矿产品销售
84,410,沈阳机床,沈阳机床股份有限公司,沈阳市,于洪区,418923.69,11775.16,11877,1996-07-18,--,,机床设备,机床、机床配套,金属切削机床制造
85,411,英特集团,浙江英特集团股份有限公司,杭州市,下城区,1890733.1,8349.05,2432,1996-07-16,--,,医药商业,药品、中药材、医疗器械,主要从事药品及医疗器械批发业务
